media_v_viii,nota_finala_romana,nota_finala_matematica,media
8.19,4.75,3.00,3.87
8.19,5.00,7.00,6.00
8.19,5.30,3.00,4.15
8.19,5.55,4.15,4.85
8.19,5.95,3.80,4.87
8.19,6.25,4.00,5.12
8.19,6.55,4.10,5.32
8.19,7.30,5.85,6.57
8.20,3.40,4.00,3.70
8.20,4.35,4.00,4.17
8.20,4.90,6.00,5.45
8.20,5.15,5.30,5.22
8.20,5.45,3.30,4.37
8.20,5.80,5.50,5.65
8.20,6.15,6.30,6.22
8.20,6.65,6.00,6.32
8.20,7.45,4.40,5.92
8.21,3.35,3.00,3.17
8.21,4.40,6.15,5.27
8.21,4.90,5.40,5.15
8.21,5.15,6.90,6.02
8.21,5.45,5.00,5.22
8.21,5.75,5.60,5.67
8.21,6.10,6.75,6.42
8.21,6.40,4.85,5.62
8.21,6.85,4.90,5.87
8.21,7.35,7.40,7.37
8.22,3.75,4.00,3.87
8.22,4.60,4.80,4.70
8.22,5.00,4.00,4.50
8.22,5.20,4.50,4.85
8.22,5.40,5.70,5.55
8.22,5.75,5.70,5.72
8.22,6.05,5.80,5.92
8.22,6.50,5.50,6.00
8.22,7.00,4.25,5.62
8.22,9.20,7.35,8.27
8.23,4.05,4.50,4.27
8.23,4.75,5.70,5.22
8.23,5.20,5.85,5.52
8.23,5.50,7.20,6.35
8.23,5.90,4.00,4.95
8.23,6.30,3.70,5.00
8.23,6.65,4.90,5.77
8.23,7.15,6.30,6.72
8.24,3.25,4.50,3.87
8.24,4.45,4.70,4.57
8.24,5.00,4.20,4.60
8.24,5.30,4.50,4.90
8.24,5.60,7.25,6.42
8.24,5.90,5.50,5.70
8.24,6.25,6.05,6.15
8.24,6.60,4.35,5.47
8.24,7.15,7.45,7.30
8.25,3.40,3.00,3.20
8.25,4.50,2.05,3.27
8.25,5.00,3.00,4.00
8.25,5.30,5.00,5.15
8.25,5.60,3.60,4.60
8.25,5.85,5.05,5.45
8.25,6.10,3.60,4.85
8.25,6.40,6.70,6.55
8.25,6.85,3.10,4.97
8.25,8.75,5.60,7.17
8.26,4.30,3.00,3.65
8.26,4.85,2.00,3.42
8.26,5.20,2.00,3.60
8.26,5.45,6.00,5.72
8.26,5.75,3.00,4.37
8.26,6.05,5.20,5.62
8.26,6.40,5.60,6.00
8.26,6.95,7.70,7.32
8.26,8.10,8.40,8.25
8.27,4.00,4.70,4.35
8.27,4.75,6.00,5.37
8.27,5.10,3.65,4.37
8.27,5.35,4.10,4.72
8.27,5.65,4.50,5.07
8.27,6.00,7.45,6.72
8.27,6.35,3.95,5.15
8.27,6.60,7.00,6.80
8.27,7.10,6.60,6.85
8.28,3.35,5.55,4.45
8.28,4.55,6.45,5.50
8.28,5.05,3.00,4.02
8.28,5.30,4.50,4.90
8.28,5.65,3.50,4.57
8.28,5.90,3.50,4.70
8.28,6.20,4.55,5.37
8.28,6.60,4.05,5.32
8.28,7.00,7.30,7.15
8.29,2.65,4.00,3.32
8.29,4.40,3.50,3.95
8.29,4.95,5.70,5.32
8.29,5.25,5.85,5.55
8.29,5.60,4.10,4.85
8.29,5.75,6.00,5.87
8.29,6.00,7.45,6.72
8.29,6.35,3.90,5.12
8.29,6.80,6.05,6.42
8.29,7.50,5.85,6.67
8.30,3.20,2.50,2.85
8.30,4.15,4.00,4.07
8.30,4.75,3.00,3.87
8.30,5.10,5.10,5.10
8.30,5.40,4.15,4.77
8.30,5.70,4.90,5.30
8.30,6.05,6.00,6.02
8.30,6.35,6.50,6.42
8.30,6.80,4.15,5.47
8.30,7.55,5.80,6.67
8.31,4.05,3.50,3.77
8.31,4.70,4.00,4.35
8.31,5.05,6.00,5.52
8.31,5.45,2.55,4.00
8.31,5.60,4.75,5.17
8.31,5.85,5.50,5.67
8.31,6.15,5.35,5.75
8.31,6.55,5.15,5.85
8.31,7.00,6.00,6.50
8.31,7.95,8.25,8.10
8.32,3.85,4.00,3.92
8.32,4.85,2.50,3.67
8.32,5.20,2.70,3.95
8.32,5.40,6.20,5.80
8.32,5.70,5.50,5.60
8.32,6.10,7.00,6.55
8.32,6.50,4.10,5.30
8.32,6.90,6.80,6.85
8.32,7.45,5.35,6.40
8.33,3.40,5.65,4.52
8.33,4.45,4.00,4.22
8.33,4.95,5.30,5.12
8.33,5.30,4.35,4.82
8.33,5.45,6.40,5.92
8.33,5.75,5.20,5.47
8.33,6.00,6.15,6.07
8.33,6.35,4.25,5.30
8.33,6.65,7.35,7.00
8.33,7.05,4.70,5.87
8.33,7.60,5.70,6.65
8.34,2.75,3.00,2.87
8.34,4.60,4.00,4.30
8.34,5.00,4.90,4.95
8.34,5.25,4.70,4.97
8.34,5.55,3.50,4.52
8.34,5.80,4.00,4.90
8.34,6.05,7.05,6.55
8.34,6.35,6.40,6.37
8.34,6.75,5.70,6.22
8.34,7.25,3.80,5.52
8.35,2.30,1.50,1.90
8.35,4.30,5.00,4.65
8.35,4.85,4.55,4.70
8.35,5.25,2.55,3.90
8.35,5.50,5.50,5.50
8.35,5.80,5.50,5.65
8.35,6.15,5.50,5.82
8.35,6.50,5.60,6.05
8.35,6.90,6.30,6.60
8.35,7.40,6.35,6.87
8.36,3.70,5.25,4.47
8.36,4.75,6.50,5.62
8.36,5.25,2.00,3.62
8.36,5.50,6.50,6.00
8.36,5.80,5.70,5.75
8.36,6.05,6.00,6.02
8.36,6.35,6.25,6.30
8.36,6.75,7.35,7.05
8.36,7.25,5.45,6.35
8.37,2.50,3.05,2.77
8.37,4.40,2.50,3.45
8.37,5.05,3.50,4.27
8.37,5.45,6.60,6.02
8.37,5.75,6.25,6.00
8.37,6.00,4.25,5.12
8.37,6.30,5.70,6.00
8.37,6.65,5.95,6.30
8.37,7.05,6.65,6.85
8.37,7.65,7.40,7.52
8.38,4.00,3.55,3.77
8.38,4.80,4.00,4.40
8.38,5.30,3.50,4.40
8.38,5.60,4.50,5.05
8.38,5.85,4.65,5.25
8.38,6.20,5.85,6.02
8.38,6.50,5.50,6.00
8.38,6.85,6.30,6.57
8.38,7.40,6.95,7.17
8.39,3.80,4.10,3.95
8.39,4.80,6.00,5.40
8.39,5.20,6.80,6.00
8.39,5.50,4.10,4.80
8.39,5.70,6.35,6.02
8.39,6.00,4.20,5.10
8.39,6.30,4.50,5.40
8.39,6.50,5.65,6.07
8.39,6.75,7.30,7.02
8.39,7.30,5.15,6.22
8.39,8.40,8.00,8.20
8.40,4.40,4.00,4.20
8.40,5.05,4.75,4.90
8.40,5.30,4.40,4.85
8.40,5.60,2.50,4.05
8.40,5.85,5.50,5.67
8.40,6.25,3.00,4.62
8.40,6.55,5.40,5.97
8.40,6.85,6.65,6.75
8.40,7.35,7.05,7.20
8.41,2.65,3.00,2.82
8.41,4.60,5.00,4.80
8.41,5.10,3.00,4.05
8.41,5.35,6.15,5.75
8.41,5.60,5.15,5.37
8.41,5.90,7.15,6.52
8.41,6.15,7.30,6.72
8.41,6.45,5.05,5.75
8.41,6.95,5.70,6.32
8.41,7.50,5.55,6.52
8.42,2.50,2.00,2.25
8.42,4.35,4.50,4.42
8.42,5.00,3.50,4.25
8.42,5.30,6.20,5.75
8.42,5.65,5.20,5.42
8.42,5.95,6.45,6.20
8.42,6.25,3.75,5.00
8.42,6.65,5.25,5.95
8.42,6.90,7.55,7.22
8.42,7.40,6.40,6.90
8.43,2.80,2.50,2.65
8.43,4.70,6.50,5.60
8.43,5.15,4.40,4.77
8.43,5.45,5.00,5.22
8.43,5.70,5.00,5.35
8.43,5.95,6.50,6.22
8.43,6.20,4.65,5.42
8.43,6.45,4.50,5.47
8.43,6.80,5.95,6.37
8.43,7.25,5.50,6.37
8.43,8.00,5.40,6.70
8.44,3.90,4.80,4.35
8.44,4.90,5.15,5.02
8.44,5.30,6.30,5.80
8.44,5.55,3.55,4.55
8.44,5.90,6.00,5.95
8.44,6.25,5.20,5.72
8.44,6.55,6.45,6.50
8.44,6.85,5.80,6.32
8.44,7.30,7.90,7.60
8.44,7.95,6.90,7.42
8.45,3.80,5.95,4.87
8.45,4.65,4.00,4.32
8.45,5.25,4.50,4.87
8.45,5.60,3.50,4.55
8.45,5.85,4.05,4.95
8.45,6.15,4.50,5.32
8.45,6.50,3.85,5.17
8.45,6.85,3.20,5.02
8.45,7.40,5.50,6.45
8.46,3.15,6.00,4.57
8.46,4.70,5.35,5.02
8.46,5.15,5.50,5.32
8.46,5.50,2.50,4.00
8.46,5.75,5.00,5.37
8.46,6.00,5.90,5.95
8.46,6.25,4.70,5.47
8.46,6.50,6.55,6.52
8.46,6.90,7.30,7.10
8.46,7.40,4.45,5.92
8.46,8.20,7.65,7.92
8.47,4.45,7.10,5.77
8.47,5.00,3.65,4.32
8.47,5.35,5.55,5.45
8.47,5.55,6.50,6.02
8.47,5.80,4.15,4.97
8.47,6.10,4.50,5.30
8.47,6.40,5.65,6.02
8.47,6.65,6.00,6.32
8.47,6.95,4.00,5.47
8.47,7.25,5.50,6.37
8.47,8.35,6.20,7.27
8.48,4.35,5.85,5.10
8.48,5.05,3.00,4.02
8.48,5.40,5.20,5.30
8.48,5.65,7.05,6.35
8.48,5.95,7.00,6.47
8.48,6.25,6.35,6.30
8.48,6.55,4.85,5.70
8.48,6.80,4.70,5.75
8.48,7.05,6.45,6.75
8.48,7.70,3.60,5.65
8.49,4.10,3.50,3.80
8.49,4.80,3.20,4.00
8.49,5.25,4.80,5.02
8.49,5.50,4.10,4.80
8.49,5.75,6.65,6.20
8.49,6.05,5.60,5.82
8.49,6.30,7.20,6.75
8.49,6.70,4.50,5.60
8.49,6.95,5.25,6.10
8.49,7.40,6.75,7.07
8.49,7.85,4.60,6.22
8.50,3.75,2.50,3.12
8.50,4.80,7.00,5.90
8.50,5.20,6.05,5.62
8.50,5.50,4.50,5.00
8.50,5.80,5.80,5.80
8.50,6.10,4.05,5.07
8.50,6.30,6.50,6.40
8.50,6.55,6.00,6.27
8.50,6.85,6.80,6.82
8.50,7.20,5.70,6.45
8.50,7.75,7.25,7.50
8.51,4.35,2.50,3.42
8.51,5.00,3.00,4.00
8.51,5.40,7.30,6.35
8.51,5.70,6.50,6.10
8.51,6.00,6.00,6.00
8.51,6.40,3.20,4.80
8.51,6.65,6.60,6.62
8.51,7.00,5.70,6.35
8.51,7.50,6.20,6.85
8.51,8.20,3.70,5.95
8.52,4.50,3.55,4.02
8.52,5.20,3.80,4.50
8.52,5.40,6.00,5.70
8.52,5.70,6.15,5.92
8.52,6.00,4.10,5.05
8.52,6.20,5.30,5.75
8.52,6.45,5.50,5.97
8.52,6.70,8.00,7.35
8.52,7.05,5.50,6.27
8.52,7.45,5.20,6.32
8.52,8.10,5.15,6.62
8.53,4.55,5.55,5.05
8.53,5.00,6.50,5.75
8.53,5.30,6.10,5.70
8.53,5.60,7.00,6.30
8.53,5.85,2.85,4.35
8.53,6.05,6.20,6.12
8.53,6.30,5.25,5.77
8.53,6.55,6.80,6.67
8.53,6.80,7.40,7.10
8.53,7.10,6.15,6.62
8.53,7.65,4.50,6.07
8.53,8.50,6.40,7.45
8.54,4.50,4.00,4.25
8.54,5.20,3.60,4.40
8.54,5.50,5.05,5.27
8.54,5.75,5.15,5.45
8.54,6.00,3.55,4.77
8.54,6.25,4.60,5.42
8.54,6.60,6.05,6.32
8.54,7.00,3.50,5.25
8.54,7.30,6.15,6.72
8.54,7.95,5.95,6.95
8.55,3.40,6.00,4.70
8.55,4.65,4.00,4.32
8.55,5.05,5.55,5.30
8.55,5.45,4.00,4.72
8.55,5.70,4.55,5.12
8.55,5.95,4.75,5.35
8.55,6.15,6.10,6.12
8.55,6.45,4.85,5.65
8.55,6.75,5.95,6.35
8.55,7.10,4.05,5.57
8.55,7.45,7.70,7.57
8.55,8.35,6.95,7.65
8.56,4.55,4.90,4.72
8.56,5.05,3.00,4.02
8.56,5.35,5.15,5.25
8.56,5.60,6.10,5.85
8.56,5.90,3.00,4.45
8.56,6.10,4.50,5.30
8.56,6.35,6.50,6.42
8.56,6.65,5.70,6.17
8.56,6.95,4.30,5.62
8.56,7.25,8.05,7.65
8.56,7.80,7.50,7.65
8.57,3.45,5.50,4.47
8.57,4.80,3.70,4.25
8.57,5.20,3.55,4.37
8.57,5.55,4.10,4.82
8.57,5.85,4.75,5.30
8.57,6.10,5.50,5.80
8.57,6.35,5.80,6.07
8.57,6.60,6.25,6.42
8.57,6.95,5.30,6.12
8.57,7.25,4.75,6.00
8.57,7.70,7.15,7.42
8.57,8.75,6.80,7.77
8.58,4.35,7.00,5.67
8.58,5.05,2.50,3.77
8.58,5.30,6.70,6.00
8.58,5.70,4.55,5.12
8.58,6.05,4.20,5.12
8.58,6.30,3.00,4.65
8.58,6.55,6.00,6.27
8.58,6.85,6.70,6.77
8.58,7.20,5.25,6.22
8.58,7.50,5.85,6.67
8.58,8.05,5.50,6.77
8.59,4.30,4.00,4.15
8.59,5.05,5.50,5.27
8.59,5.35,4.00,4.67
8.59,5.60,3.00,4.30
8.59,5.80,5.90,5.85
8.59,6.00,4.35,5.17
8.59,6.20,6.20,6.20
8.59,6.50,5.00,5.75
8.59,6.75,4.60,5.67
8.59,7.00,7.95,7.47
8.59,7.40,3.80,5.60
8.59,7.80,6.45,7.12
8.59,8.85,8.90,8.87
8.60,4.60,3.70,4.15
8.60,5.05,5.35,5.20
8.60,5.50,4.75,5.12
8.60,5.75,3.05,4.40
8.60,5.90,8.15,7.02
8.60,6.20,6.85,6.52
8.60,6.50,4.20,5.35
8.60,6.85,5.95,6.40
8.60,7.20,3.50,5.35
8.60,7.50,5.10,6.30
8.60,8.00,7.95,7.97
8.61,4.30,3.50,3.90
8.61,5.05,6.60,5.82
8.61,5.40,5.25,5.32
8.61,5.65,7.45,6.55
8.61,5.90,6.95,6.42
8.61,6.20,7.60,6.90
8.61,6.45,5.05,5.75
8.61,6.80,4.25,5.52
8.61,7.00,5.25,6.12
8.61,7.25,6.20,6.72
8.61,7.55,7.90,7.72
8.61,8.05,6.65,7.35
8.62,4.00,3.50,3.75
8.62,5.05,7.25,6.15
8.62,5.45,8.25,6.85
8.62,5.85,4.00,4.92
8.62,6.05,5.15,5.60
8.62,6.35,4.70,5.52
8.62,6.60,5.00,5.80
8.62,6.90,4.20,5.55
8.62,7.25,6.00,6.62
8.62,7.75,5.00,6.37
8.62,8.35,3.85,6.10
8.63,4.55,5.00,4.77
8.63,5.00,5.05,5.02
8.63,5.40,3.60,4.50
8.63,5.70,6.15,5.92
8.63,6.00,3.00,4.50
8.63,6.35,3.50,4.92
8.63,6.65,5.50,6.07
8.63,6.95,4.50,5.72
8.63,7.30,5.05,6.17
8.63,7.70,6.95,7.32
8.63,8.70,7.60,8.15
8.64,4.70,6.00,5.35
8.64,5.25,4.60,4.92
8.64,5.50,5.85,5.67
8.64,5.80,5.10,5.45
8.64,5.95,5.50,5.72
8.64,6.20,5.50,5.85
8.64,6.45,4.55,5.50
8.64,6.65,4.70,5.67
8.64,7.00,6.35,6.67
8.64,7.40,5.00,6.20
8.64,7.90,4.35,6.12
8.65,2.45,3.00,2.72
8.65,4.75,5.70,5.22
8.65,5.20,4.50,4.85
8.65,5.45,6.05,5.75
8.65,5.80,5.60,5.70
8.65,6.10,6.55,6.32
8.65,6.50,4.50,5.50
8.65,6.75,6.25,6.50
8.65,7.00,6.05,6.52
8.65,7.45,6.05,6.75
8.65,7.80,5.75,6.77
8.65,8.60,7.45,8.02
8.66,4.70,5.20,4.95
8.66,5.30,2.50,3.90
8.66,5.50,5.00,5.25
8.66,5.85,5.75,5.80
8.66,6.05,5.35,5.70
8.66,6.25,6.00,6.12
8.66,6.50,6.75,6.62
8.66,6.70,8.25,7.47
8.66,7.00,5.80,6.40
8.66,7.30,5.25,6.27
8.66,7.60,7.20,7.40
8.66,7.95,6.95,7.45
8.67,3.60,4.00,3.80
8.67,4.85,4.20,4.52
8.67,5.30,4.90,5.10
8.67,5.60,5.40,5.50
8.67,5.90,5.55,5.72
8.67,6.10,6.25,6.17
8.67,6.35,4.90,5.62
8.67,6.55,6.85,6.70
8.67,6.75,5.80,6.27
8.67,7.05,5.35,6.20
8.67,7.30,6.30,6.80
8.67,7.65,6.10,6.87
8.67,8.25,5.85,7.05
8.68,4.20,5.70,4.95
8.68,5.00,3.50,4.25
8.68,5.45,4.00,4.72
8.68,5.70,5.00,5.35
8.68,6.00,3.50,4.75
8.68,6.25,3.10,4.67
8.68,6.50,5.75,6.12
8.68,6.75,8.85,7.80
8.68,7.15,7.00,7.07
8.68,7.50,5.70,6.60
8.68,7.85,5.85,6.85
8.68,8.45,7.15,7.80
8.69,4.75,5.25,5.00
8.69,5.35,5.40,5.37
8.69,5.70,5.05,5.37
8.69,5.90,5.20,5.55
8.69,6.15,6.00,6.07
8.69,6.40,4.00,5.20
8.69,6.65,5.70,6.17
8.69,6.85,3.80,5.32
8.69,7.10,7.00,7.05
8.69,7.40,6.35,6.87
8.69,7.70,5.55,6.62
8.69,9.25,7.35,8.30
8.70,4.75,6.05,5.40
8.70,5.30,5.70,5.50
8.70,5.65,6.00,5.82
8.70,6.00,4.70,5.35
8.70,6.25,4.10,5.17
8.70,6.50,5.40,5.95
8.70,6.65,6.85,6.75
8.70,6.95,4.50,5.72
8.70,7.20,5.40,6.30
8.70,7.40,7.60,7.50
8.70,7.90,7.65,7.77
8.71,4.20,5.40,4.80
8.71,5.10,5.45,5.27
8.71,5.45,5.70,5.57
8.71,5.80,7.00,6.40
8.71,6.10,3.80,4.95
8.71,6.30,6.10,6.20
8.71,6.50,5.50,6.00
8.71,6.75,7.20,6.97
8.71,7.10,5.40,6.25
8.71,7.30,6.55,6.92
8.71,7.60,5.35,6.47
8.71,8.05,6.15,7.10
8.72,3.90,5.30,4.60
8.72,5.15,7.95,6.55
8.72,5.55,4.20,4.87
8.72,5.80,5.60,5.70
8.72,6.10,5.00,5.55
8.72,6.30,5.90,6.10
8.72,6.50,6.20,6.35
8.72,6.75,3.50,5.12
8.72,7.00,6.85,6.92
8.72,7.30,8.35,7.82
8.72,7.70,3.50,5.60
8.72,8.15,7.20,7.67
8.72,9.10,7.65,8.37
8.73,4.90,4.70,4.80
8.73,5.35,3.85,4.60
8.73,5.60,6.05,5.82
8.73,5.85,6.75,6.30
8.73,6.05,5.70,5.87
8.73,6.30,6.00,6.15
8.73,6.50,5.50,6.00
8.73,6.70,5.35,6.02
8.73,7.00,7.25,7.12
8.73,7.25,7.65,7.45
8.73,7.60,8.25,7.92
8.73,8.00,6.65,7.32
8.73,8.75,8.50,8.62
8.74,4.70,3.50,4.10
8.74,5.30,4.50,4.90
8.74,5.65,6.35,6.00
8.74,5.90,4.50,5.20
8.74,6.20,3.70,4.95
8.74,6.40,6.65,6.52
8.74,6.60,5.25,5.92
8.74,6.80,7.35,7.07
8.74,7.00,5.15,6.07
8.74,7.30,5.40,6.35
8.74,7.60,6.40,7.00
8.74,8.05,7.00,7.52
8.74,8.85,5.80,7.32
8.75,4.95,7.10,6.02
8.75,5.45,4.60,5.02
8.75,5.80,5.00,5.40
8.75,6.05,3.50,4.77
8.75,6.30,4.15,5.22
8.75,6.50,5.80,6.15
8.75,6.80,6.25,6.52
8.75,7.00,5.95,6.47
8.75,7.20,8.15,7.67
8.75,7.55,7.45,7.50
8.75,7.85,6.45,7.15
8.75,8.25,8.05,8.15
8.76,4.40,5.50,4.95
8.76,5.35,3.60,4.47
8.76,5.65,4.15,4.90
8.76,5.90,6.10,6.00
8.76,6.25,5.85,6.05
8.76,6.40,4.40,5.40
8.76,6.60,4.50,5.55
8.76,6.75,7.10,6.92
8.76,6.95,6.20,6.57
8.76,7.30,6.00,6.65
8.76,7.65,8.10,7.87
8.76,8.05,7.50,7.77
8.76,8.85,7.05,7.95
8.77,4.80,4.70,4.75
8.77,5.55,5.65,5.60
8.77,5.95,3.95,4.95
8.77,6.30,3.70,5.00
8.77,6.60,5.45,6.02
8.77,6.90,5.65,6.27
8.77,7.20,6.15,6.67
8.77,7.40,5.60,6.50
8.77,7.70,6.50,7.10
8.77,8.05,7.85,7.95
8.77,9.10,8.65,8.87
8.78,5.10,6.45,5.77
8.78,5.50,4.00,4.75
8.78,5.80,4.55,5.17
8.78,6.00,7.25,6.62
8.78,6.35,5.00,5.67
8.78,6.55,7.45,7.00
8.78,6.75,6.80,6.77
8.78,7.00,5.65,6.32
8.78,7.25,6.75,7.00
8.78,7.55,5.00,6.27
8.78,7.80,6.60,7.20
8.78,8.35,9.00,8.67
8.79,4.60,2.00,3.30
8.79,5.25,3.50,4.37
8.79,5.60,8.20,6.90
8.79,5.90,4.70,5.30
8.79,6.15,4.75,5.45
8.79,6.40,5.00,5.70
8.79,6.60,4.55,5.57
8.79,6.75,6.05,6.40
8.79,6.95,5.40,6.17
8.79,7.20,5.90,6.55
8.79,7.55,6.85,7.20
8.79,7.85,7.00,7.42
8.79,8.40,9.05,8.72
8.80,4.30,3.50,3.90
8.80,5.10,5.20,5.15
8.80,5.60,2.55,4.07
8.80,5.85,7.45,6.65
8.80,6.15,5.85,6.00
8.80,6.40,5.35,5.87
8.80,6.65,3.90,5.27
8.80,6.95,4.30,5.62
8.80,7.20,7.20,7.20
8.80,7.50,4.60,6.05
8.80,7.85,7.40,7.62
8.80,8.40,8.45,8.42
8.81,4.25,4.70,4.47
8.81,5.50,4.50,5.00
8.81,5.85,4.25,5.05
8.81,6.15,4.05,5.10
8.81,6.45,7.45,6.95
8.81,6.70,5.55,6.12
8.81,6.85,8.30,7.57
8.81,7.10,5.70,6.40
8.81,7.30,6.55,6.92
8.81,7.55,5.75,6.65
8.81,8.00,7.10,7.55
8.81,8.55,7.65,8.10
8.82,4.80,6.05,5.42
8.82,5.35,7.05,6.20
8.82,5.75,3.50,4.62
8.82,6.05,5.20,5.62
8.82,6.25,7.15,6.70
8.82,6.45,6.20,6.32
8.82,6.65,7.05,6.85
8.82,6.90,4.90,5.90
8.82,7.10,4.40,5.75
8.82,7.40,4.25,5.82
8.82,7.60,5.55,6.57
8.82,7.95,7.30,7.62
8.82,8.40,9.20,8.80
8.83,3.80,3.50,3.65
8.83,5.40,5.20,5.30
8.83,5.75,7.10,6.42
8.83,6.05,4.65,5.35
8.83,6.30,4.90,5.60
8.83,6.45,7.30,6.87
8.83,6.70,4.40,5.55
8.83,6.95,4.55,5.75
8.83,7.20,5.80,6.50
8.83,7.40,6.70,7.05
8.83,7.65,6.15,6.90
8.83,7.90,7.20,7.55
8.83,8.25,6.90,7.57
8.83,8.80,7.65,8.22
8.84,5.00,4.00,4.50
8.84,5.50,7.60,6.55
8.84,5.90,7.20,6.55
8.84,6.15,3.50,4.82
8.84,6.30,6.60,6.45
8.84,6.50,4.70,5.60
8.84,6.70,5.85,6.27
8.84,6.95,5.30,6.12
8.84,7.20,5.50,6.35
8.84,7.40,4.90,6.15
8.84,7.65,4.90,6.27
8.84,7.90,7.35,7.62
8.84,8.40,5.20,6.80
8.85,4.05,2.00,3.02
8.85,5.10,6.00,5.55
8.85,5.50,5.20,5.35
8.85,5.80,4.05,4.92
8.85,6.05,5.20,5.62
8.85,6.30,3.25,4.77
8.85,6.50,6.00,6.25
8.85,6.70,5.80,6.25
8.85,6.95,8.50,7.72
8.85,7.10,8.20,7.65
8.85,7.30,8.50,7.90
8.85,7.55,6.35,6.95
8.85,7.75,7.95,7.85
8.85,8.10,4.65,6.37
8.85,8.60,8.25,8.42
8.86,4.70,5.60,5.15
8.86,5.30,6.00,5.65
8.86,5.80,3.35,4.57
8.86,6.10,4.55,5.32
8.86,6.35,3.65,5.00
8.86,6.65,3.95,5.30
8.86,6.80,6.05,6.42
8.86,6.95,7.75,7.35
8.86,7.15,6.05,6.60
8.86,7.45,5.20,6.32
8.86,7.70,7.65,7.67
8.86,8.00,9.10,8.55
8.86,8.65,6.60,7.62
8.87,4.80,5.20,5.00
8.87,5.50,5.35,5.42
8.87,5.95,4.55,5.25
8.87,6.15,8.45,7.30
8.87,6.35,7.25,6.80
8.87,6.60,5.40,6.00
8.87,6.75,6.95,6.85
8.87,7.00,5.05,6.02
8.87,7.20,4.35,5.77
8.87,7.40,7.20,7.30
8.87,7.65,5.35,6.50
8.87,7.85,5.85,6.85
8.87,8.15,7.65,7.90
8.87,9.00,8.45,8.72
8.88,5.00,5.20,5.10
8.88,5.45,3.75,4.60
8.88,5.85,7.60,6.72
8.88,6.15,6.25,6.20
8.88,6.55,3.50,5.02
8.88,6.75,4.20,5.47
8.88,6.95,5.05,6.00
8.88,7.15,5.00,6.07
8.88,7.40,4.45,5.92
8.88,7.65,7.50,7.57
8.88,8.05,7.40,7.72
8.88,8.40,8.40,8.40
8.89,4.00,3.00,3.50
8.89,5.15,4.15,4.65
8.89,5.55,7.60,6.57
8.89,5.90,6.35,6.12
8.89,6.20,4.25,5.22
8.89,6.40,6.85,6.62
8.89,6.60,5.80,6.20
8.89,6.80,7.90,7.35
8.89,7.10,4.70,5.90
8.89,7.30,5.80,6.55
8.89,7.55,5.75,6.65
8.89,7.75,6.55,7.15
8.89,8.10,4.65,6.37
8.89,8.45,7.85,8.15
8.90,3.45,5.00,4.22
8.90,5.05,5.00,5.02
8.90,5.50,7.45,6.47
8.90,5.85,5.30,5.57
8.90,6.15,6.85,6.50
8.90,6.45,5.55,6.00
8.90,6.65,7.00,6.82
8.90,6.90,6.65,6.77
8.90,7.15,7.05,7.10
8.90,7.40,7.80,7.60
8.90,7.65,4.90,6.27
8.90,7.85,7.40,7.62
8.90,8.15,7.65,7.90
8.90,8.55,5.75,7.15
8.91,5.05,4.20,4.62
8.91,5.55,5.70,5.62
8.91,5.85,5.90,5.87
8.91,6.15,6.70,6.42
8.91,6.35,5.90,6.12
8.91,6.55,6.00,6.27
8.91,6.70,8.00,7.35
8.91,6.95,6.00,6.47
8.91,7.20,6.25,6.72
8.91,7.35,5.20,6.27
8.91,7.55,5.65,6.60
8.91,7.75,7.25,7.50
8.91,8.05,7.85,7.95
8.91,8.50,5.55,7.02
8.92,4.60,4.00,4.30
8.92,5.40,5.15,5.27
8.92,5.80,4.90,5.35
8.92,6.05,6.05,6.05
8.92,6.35,6.25,6.30
8.92,6.70,6.00,6.35
8.92,6.90,5.95,6.42
8.92,7.10,5.15,6.12
8.92,7.25,7.45,7.35
8.92,7.40,7.95,7.67
8.92,7.65,5.05,6.35
8.92,7.85,7.40,7.62
8.92,8.20,8.40,8.30
8.92,8.80,6.70,7.75
8.93,5.10,3.65,4.37
8.93,5.50,5.40,5.45
8.93,5.85,5.70,5.77
8.93,6.20,7.50,6.85
8.93,6.45,6.45,6.45
8.93,6.60,6.30,6.45
8.93,6.80,6.70,6.75
8.93,6.95,7.40,7.17
8.93,7.20,6.90,7.05
8.93,7.35,7.35,7.35
8.93,7.55,7.85,7.70
8.93,7.75,6.90,7.32
8.93,7.95,8.00,7.97
8.93,8.35,7.65,8.00
8.94,3.75,5.00,4.37
8.94,5.20,5.50,5.35
8.94,5.60,3.00,4.30
8.94,6.00,5.00,5.50
8.94,6.20,5.95,6.07
8.94,6.40,5.45,5.92
8.94,6.60,6.30,6.45
8.94,6.80,6.40,6.60
8.94,7.00,5.05,6.02
8.94,7.20,5.85,6.52
8.94,7.45,4.95,6.20
8.94,7.60,8.60,8.10
8.94,7.90,6.70,7.30
8.94,8.10,5.20,6.65
8.94,8.45,7.50,7.97
8.95,4.55,6.20,5.37
8.95,5.45,6.80,6.12
8.95,5.85,6.35,6.10
8.95,6.20,7.35,6.77
8.95,6.45,5.80,6.12
8.95,6.65,7.60,7.12
8.95,6.85,6.30,6.57
8.95,7.00,7.65,7.32
8.95,7.20,7.10,7.15
8.95,7.40,6.45,6.92
8.95,7.60,6.05,6.82
8.95,7.80,4.00,5.90
8.95,8.05,6.45,7.25
8.95,8.40,6.00,7.20
8.95,8.90,8.55,8.72
